SYMBOL,NAME OF COMPANY,normalizedName
MUKTAARTS,Mukta Arts Limited,mukta arts
MUNJALAU,Munjal Auto Industries Limited,munjal auto
MUNJALSHOW,Munjal Showa Limited,munjal showa
MURUDCERA,Murudeshwar Ceramics Limited,murudeshwar ceramics
MUTHOOTCAP,Muthoot Capital Services Limited,muthoot capital services
MUTHOOTFIN,Muthoot Finance Limited,muthoot finance
MUTHOOTMF,Muthoot Microfin Limited,muthoot microfin
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,manoj vaibhav gems n jewellers
NACLIND,NACL Industries Limited,nacl
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,nagarjuna fertilizers and chemicals
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,nagreeka capital infrastructure
NAGREEKEXP,Nagreeka Exports Limited,nagreeka exports
NAHARCAP,Nahar Capital and Financial Services Limited,nahar capital and financial services
NAHARINDUS,Nahar Industrial Enterprises Limited,nahar industrial enterprises
NAHARPOLY,Nahar Poly Films Limited,nahar poly films
NAHARSPING,Nahar Spinning Mills Limited,nahar spinning mills
NAM-INDIA,Nippon Life India Asset Management Limited,nippon life india asset management
NARMADA,Narmada Agrobase Limited,narmada agrobase
NATCAPSUQ,Natural Capsules Limited,natural capsules
NATCOPHARM,Natco Pharma Limited,natco pharma
NATHBIOGEN,Nath Bio-Genes (India) Limited,nath bio genes
NATIONALUM,National Aluminium Company Limited,national aluminium
NAUKRI,Info Edge (India) Limited,info edge
NAVA,NAVA LIMITED,nava
NAVINFLUOR,Navin Fluorine International Limited,navin fluorine international
NAVKARCORP,Navkar Corporation Limited,navkar corporation
NAVKARURB,Navkar Urbanstructure Limited,navkar urbanstructure
NAVNETEDUL,Navneet Education Limited,navneet education
NAZARA,Nazara Technologies Limited,nazara technologies
NBCC,NBCC (India) Limited,nbcc
NBIFIN,N. B. I. Industrial Finance Company Limited,n b i industrial finance
NCC,NCC Limited,ncc
NCLIND,NCL Industries Limited,ncl
NDGL,Naga Dhunseri Group Limited,naga dhunseri group
NDL,Nandan Denim Limited,nandan denim
NDLVENTURE,NDL Ventures Limited,ndl ventures
NDRAUTO,Ndr Auto Components Limited,ndr auto components
NDTV,New Delhi Television Limited,new delhi television
NECCLTD,North Eastern Carrying Corporation Limited,north eastern carrying corporation
NECLIFE,Nectar Lifesciences Limited,nectar lifesciences
NELCAST,Nelcast Limited,nelcast
NELCO,NELCO Limited,nelco
NEOGEN,Neogen Chemicals Limited,neogen chemicals
NESCO,Nesco Limited,nesco
NESTLEIND,Nestle India Limited,nestle
NETWEB,Netweb Technologies India Limited,netweb technologies
NETWORK18,Network18 Media & Investments Limited,network18 media investments
NEULANDLAB,Neuland Laboratories Limited,neuland laboratories
NEWGEN,Newgen Software Technologies Limited,newgen software technologies
NEXTMEDIA,Next Mediaworks Limited,next mediaworks
NFL,National Fertilizers Limited,national fertilizers
NGIL,Nakoda Group of Industries Limited,nakoda group of
NGLFINE,NGL Fine-Chem Limited,ngl fine chem
NH,Narayana Hrudayalaya Ltd.,narayana hrudayalaya
NHPC,NHPC Limited,nhpc
NIACL,The New India Assurance Company Limited,the new india assurance
NIBE,NIBE Limited,nibe
NIBL,NRB Industrial Bearings Limited,nrb industrial bearings
NIITLTD,NIIT Limited,niit
NIITMTS,NIIT Learning Systems Limited,niit learning systems
NILAINFRA,Nila Infrastructures Limited,nila infrastructures
NILASPACES,Nila Spaces Limited,nila spaces
NILKAMAL,Nilkamal Limited,nilkamal
NINSYS,NINtec Systems Limited,nintec systems
NIPPOBATRY,Indo-National Limited,indo national
NIRAJ,Niraj Cement Structurals Limited,niraj cement structurals
NIRAJISPAT,Niraj Ispat Industries Limited,niraj ispat
NITCO,Nitco Limited,nitco
NITINSPIN,Nitin Spinners Limited,nitin spinners
NITIRAJ,Nitiraj Engineers Limited,nitiraj engineers
NIVABUPA,Niva Bupa Health Insurance Company Limited,niva bupa health insurance
NKIND,NK Industries Limited,nk
NLCINDIA,NLC India Limited,nlc
NMDC,NMDC Limited,nmdc
NOCIL,NOCIL Limited,nocil
NOIDATOLL,Noida Toll Bridge Company Limited,noida toll bridge
NORBTEAEXP,Norben Tea & Exports Limited,norben tea exports
NORTHARC,Northern Arc Capital Limited,northern arc capital
NOVAAGRI,Nova Agritech Limited,nova agritech
NPST,Network People Services Technologies Limited,network people services technologies
NRAIL,N R Agarwal Industries Limited,n r agarwal
NRBBEARING,NRB Bearing Limited,nrb bearing
NRL,Nupur Recyclers Limited,nupur recyclers
NSIL,Nalwa Sons Investments Limited,nalwa sons investments
NSLNISP,NMDC Steel Limited,nmdc steel
NTPC,NTPC Limited,ntpc
NTPCGREEN,NTPC Green Energy Limited,ntpc green energy
NUCLEUS,Nucleus Software Exports Limited,nucleus software exports
NURECA,Nureca Limited,nureca
NUVAMA,Nuvama Wealth Management Limited,nuvama wealth management
NUVOCO,Nuvoco Vistas Corporation Limited,nuvoco vistas corporation
NYKAA,FSN E-Commerce Ventures Limited,fsn e commerce ventures
OAL,Oriental Aromatics Limited,oriental aromatics
OBCL,Orissa Bengal Carrier Limited,orissa bengal carrier
OBEROIRLTY,Oberoi Realty Limited,oberoi realty
OCCLLTD,OCCL Limited,occl
ODIGMA,Odigma Consultancy Solutions Limited,odigma consultancy solutions
OFSS,Oracle Financial Services Software Limited,oracle financial services software
OIL,Oil India Limited,oil
OILCOUNTUB,Oil Country Tubular Limited,oil country tubular
OLAELEC,Ola Electric Mobility Limited,ola electric mobility
OLECTRA,Olectra Greentech Limited,olectra greentech
OMAXAUTO,Omax Autos Limited,omax autos
OMAXE,Omaxe Limited,omaxe
OMINFRAL,OM INFRA LIMITED,om infra
OMKARCHEM,Omkar Speciality Chemicals Limited,omkar speciality chemicals
ONELIFECAP,Onelife Capital Advisors Limited,onelife capital advisors
ONEPOINT,One Point One Solutions Limited,one point one solutions
ONESOURCE,Onesource Specialty Pharma Limited,onesource specialty pharma
ONGC,Oil & Natural Gas Corporation Limited,oil natural gas corporation
ONMOBILE,OnMobile Global Limited,onmobile global
ONWARDTEC,Onward Technologies Limited,onward technologies
OPTIEMUS,Optiemus Infracom Limited,optiemus infracom
ORBTEXP,Orbit Exports Limited,orbit exports
ORCHASP,Orchasp Limited,orchasp
ORCHPHARMA,Orchid Pharma Limited,orchid pharma
ORICONENT,Oricon Enterprises Limited,oricon enterprises
ORIENTALTL,Oriental Trimex Limited,oriental trimex
ORIENTBELL,Orient Bell Limited,orient bell
ORIENTCEM,Orient Cement Limited,orient cement
ORIENTCER,ORIENT CERATECH LIMITED,orient ceratech
ORIENTELEC,Orient Electric Limited,orient electric
ORIENTHOT,Oriental Hotels Limited,oriental hotels
ORIENTLTD,Orient Press Limited,orient press
ORIENTPPR,Orient Paper & Industries Limited,orient paper
ORIENTTECH,Orient Technologies Limited,orient technologies
ORISSAMINE,The Orissa Minerals Development Company Limited,the orissa minerals development
ORTEL,Ortel Communications Limited,ortel communications
ORTINGLOBE,ORTIN GLOBAL LIMITED,ortin global
OSIAHYPER,Osia Hyper Retail Limited,osia hyper retail
OSWALAGRO,Oswal Agro Mills Limited,oswal agro mills
OSWALGREEN,Oswal Greentech Limited,oswal greentech
OSWALPUMPS,Oswal Pumps Limited,oswal pumps
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,shreeoswal seeds and chemicals
PAGEIND,Page Industries Limited,page
PAISALO,Paisalo Digital Limited,paisalo digital
PAKKA,PAKKA LIMITED,pakka
PALASHSECU,Palash Securities Limited,palash securities
PALREDTEC,Palred Technologies Limited,palred technologies
PANACEABIO,Panacea Biotec Limited,panacea biotec
PANACHE,Panache Digilife Limited,panache digilife
PANAMAPET,Panama Petrochem Limited,panama petrochem
PANSARI,Pansari Developers Limited,pansari developers
PAR,Par Drugs And Chemicals Limited,par drugs and chemicals
PARACABLES,Paramount Communications Limited,paramount communications
PARADEEP,Paradeep Phosphates Limited,paradeep phosphates
PARAGMILK,Parag Milk Foods Limited,parag milk foods
PARAS,Paras Defence and Space Technologies Limited,paras defence and space technologies
PARASPETRO,Paras Petrofils Limited,paras petrofils
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,apeejay surrendra park hotels
PARSVNATH,Parsvnath Developers Limited,parsvnath developers
PASHUPATI,Pashupati Cotspin Limited,pashupati cotspin
PASUPTAC,Pasupati Acrylon Limited,pasupati acrylon
PATANJALI,Patanjali Foods Limited,patanjali foods
PATELENG,Patel Engineering Limited,patel engineering
PATELRMART,Patel Retail Limited,patel retail
PATINTLOG,Patel Integrated Logistics Limited,patel integrated logistics
PAVNAIND,Pavna Industries Limited,pavna
PAYTM,One 97 Communications Limited,one 97 communications
PCBL,PCBL Chemical Limited,pcbl chemical
PCJEWELLER,PC Jeweller Limited,pc jeweller
PDMJEPAPER,Pudumjee Paper Products Limited,pudumjee paper products
PDSL,PDS Limited,pds
PEARLPOLY,Pearl Polymers Limited,pearl polymers
PEL,Piramal Enterprises Limited,piramal enterprises
PENIND,Pennar Industries Limited,pennar
PENINLAND,Peninsula Land Limited,peninsula land
PERSISTENT,Persistent Systems Limited,persistent systems
PETRONET,Petronet LNG Limited,petronet lng
PFC,Power Finance Corporation Limited,power finance corporation
PFIZER,Pfizer Limited,pfizer
PFOCUS,Prime Focus Limited,prime focus
PFS,PTC India Financial Services Limited,ptc india financial services
PGEL,PG Electroplast Limited,pg electroplast
PGHH,Procter & Gamble Hygiene and Health Care Limited,procter gamble hygiene and health care
PGHL,Procter & Gamble Health Limited,procter gamble health
PGIL,Pearl Global Industries Limited,pearl global
PHOENIXLTD,The Phoenix Mills Limited,the phoenix mills
PICCADIL,Piccadily Agro Industries Limited,piccadily agro
PIDILITIND,Pidilite Industries Limited,pidilite
PIGL,Power & Instrumentation (Gujarat) Limited,power instrumentation gujarat
PIIND,PI Industries Limited,pi
PILANIINVS,Pilani Investment and Industries Corporation Limited,pilani investment and industries corporation
PILITA,PIL ITALICA LIFESTYLE LIMITED,pil italica lifestyle
PIONEEREMB,Pioneer Embroideries Limited,pioneer embroideries
PITTIENG,Pitti Engineering Limited,pitti engineering
PIXTRANS,Pix Transmissions Limited,pix transmissions
PKTEA,The Peria Karamalai Tea & Produce Company Limited,the peria karamalai tea produce
PLASTIBLEN,Plastiblends India Limited,plastiblends
PLATIND,Platinum Industries Limited,platinum
PLAZACABLE,Plaza Wires Limited,plaza wires
PNB,Punjab National Bank,punjab national bank
PNBGILTS,PNB Gilts Limited,pnb gilts
PNBHOUSING,PNB Housing Finance Limited,pnb housing finance
PNC,Pritish Nandy Communications Limited,pritish nandy communications
PNCINFRA,PNC Infratech Limited,pnc infratech
PNGJL,P N Gadgil Jewellers Limited,p n gadgil jewellers
POCL,Pondy Oxides & Chemicals Limited,pondy oxides chemicals
PODDARMENT,Poddar Pigments Limited,poddar pigments
POKARNA,Pokarna Limited,pokarna
POLICYBZR,PB Fintech Limited,pb fintech
POLYCAB,Polycab India Limited,polycab
POLYMED,Poly Medicure Limited,poly medicure
POLYPLEX,Polyplex Corporation Limited,polyplex corporation
PONNIERODE,Ponni Sugars (Erode) Limited,ponni sugars erode
POONAWALLA,Poonawalla Fincorp Limited,poonawalla fincorp
POWERGRID,Power Grid Corporation of India Limited,power grid corporation of
POWERINDIA,Hitachi Energy India Limited,hitachi energy
POWERMECH,Power Mech Projects Limited,power mech projects
PPAP,PPAP Automotive Limited,ppap automotive
PPL,Prakash Pipes Limited,prakash pipes
PPLPHARMA,Piramal Pharma Limited,piramal pharma
PRABHA,Prabha Energy Limited,prabha energy
PRAENG,Prajay Engineers Syndicate Limited,prajay engineers syndicate
PRAJIND,Praj Industries Limited,praj
PRAKASH,Prakash Industries Limited,prakash
PRAKASHSTL,Prakash Steelage Limited,prakash steelage
PRAXIS,Praxis Home Retail Limited,praxis home retail
PRECAM,Precision Camshafts Limited,precision camshafts
PRECOT,Precot Limited,precot
PRECWIRE,Precision Wires India Limited,precision wires
PREMEXPLN,Premier Explosives Limited,premier explosives
PREMIER,Premier Limited,premier
PREMIERENE,Premier Energies Limited,premier energies
PREMIERPOL,Premier Polyfilm Limited,premier polyfilm
PRESTIGE,Prestige Estates Projects Limited,prestige estates projects
PRICOLLTD,Pricol Limited,pricol
PRIMESECU,Prime Securities Limited,prime securities
PRIMO,Primo Chemicals Limited,primo chemicals
PRINCEPIPE,Prince Pipes And Fittings Limited,prince pipes and fittings
PRITI,Priti International Limited,priti international
PRITIKAUTO,Pritika Auto Industries Limited,pritika auto
PRIVISCL,Privi Speciality Chemicals Limited,privi speciality chemicals
PROSTARM,Prostarm Info Systems Limited,prostarm info systems
PROTEAN,Protean eGov Technologies Limited,protean egov technologies
PROZONER,Prozone Realty Limited,prozone realty
PRSMJOHNSN,Prism Johnson Limited,prism johnson
PRUDENT,Prudent Corporate Advisory Services Limited,prudent corporate advisory services
PRUDMOULI,Prudential Sugar Corporation Limited,prudential sugar corporation
PSB,Punjab & Sind Bank,punjab sind bank
PSPPROJECT,PSP Projects Limited,psp projects
PTC,PTC India Limited,ptc
PTCIL,PTC Industries Limited,ptc
PTL,PTL Enterprises Limited,ptl enterprises
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,punjab chemicals crop protection
PURVA,Puravankara Limited,puravankara
PVP,PVP Ventures Limited,pvp ventures
PVRINOX,PVR INOX Limited,pvr inox
PVSL,Popular Vehicles and Services Limited,popular vehicles and services
PYRAMID,Pyramid Technoplast Limited,pyramid technoplast
QPOWER,Quality Power Electrical Equipments Limited,quality power electrical equipments
QUADFUTURE,Quadrant Future Tek Limited,quadrant future tek
QUESS,Quess Corp Limited,quess corp
QUICKHEAL,Quick Heal Technologies Limited,quick heal technologies
RACE,Race Eco Chain Limited,race eco chain
RACLGEAR,RACL Geartech Limited,racl geartech
RADAAN,Radaan Mediaworks India Limited,radaan mediaworks
RADHIKAJWE,Radhika Jeweltech Limited,radhika jeweltech
RADIANTCMS,Radiant Cash Management Services Limited,radiant cash management services
RADICO,Radico Khaitan Limited,radico khaitan
RADIOCITY,Music Broadcast Limited,music broadcast
RAILTEL,Railtel Corporation Of India Limited,railtel corporation of
RAIN,Rain Industries Limited,rain
RAINBOW,Rainbow Childrens Medicare Limited,rainbow childrens medicare
RAJESHEXPO,Rajesh Exports Limited,rajesh exports
RAJMET,Rajnandini Metal Limited,rajnandini metal
RAJOOENG,Rajoo Engineers Limited,rajoo engineers
RAJRATAN,Rajratan Global Wire Limited,rajratan global wire
RAJRILTD,Raj Rayon Industries Limited,raj rayon
RAJSREESUG,Rajshree Sugars & Chemicals Limited,rajshree sugars chemicals
RAJTV,Raj Television Network Limited,raj television network
RALLIS,Rallis India Limited,rallis
RAMANEWS,Shree Rama Newsprint Limited,shree rama newsprint
RAMAPHO,Rama Phosphates Limited,rama phosphates
RAMASTEEL,Rama Steel Tubes Limited,rama steel tubes
RAMCOCEM,The Ramco Cements Limited,the ramco cements
RAMCOIND,Ramco Industries Limited,ramco
RAMCOSYS,Ramco Systems Limited,ramco systems
RAMKY,Ramky Infrastructure Limited,ramky infrastructure
RAMRAT,Ram Ratna Wires Limited,ram ratna wires
RANASUG,Rana Sugars Limited,rana sugars
RANEHOLDIN,Rane Holdings Limited,rane holdings
RATEGAIN,Rategain Travel Technologies Limited,rategain travel technologies
RATNAMANI,Ratnamani Metals & Tubes Limited,ratnamani metals tubes
RATNAVEER,Ratnaveer Precision Engineering Limited,ratnaveer precision engineering
RAYMOND,Raymond Limited,raymond
RAYMONDLSL,Raymond Lifestyle Limited,raymond lifestyle
RAYMONDREL,Raymond Realty Limited,raymond realty
RBA,Restaurant Brands Asia Limited,restaurant brands asia
RBLBANK,RBL Bank Limited,rbl bank
RBZJEWEL,RBZ Jewellers Limited,rbz jewellers
RCF,Rashtriya Chemicals and Fertilizers Limited,rashtriya chemicals and fertilizers
RCOM,Reliance Communications Limited,reliance communications
RECLTD,REC Limited,rec
REDINGTON,Redington Limited,redington
REDTAPE,Redtape Limited,redtape
REFEX,Refex Industries Limited,refex
REGAAL,Regaal Resources Limited,regaal resources
REGENCERAM,Regency Ceramics Limited,regency ceramics
RELAXO,Relaxo Footwears Limited,relaxo footwears
RELCHEMQ,Reliance Chemotex Industries Limited,reliance chemotex
RELIABLE,Reliable Data Services Limited,reliable data services
RELIANCE,Reliance Industries Limited,reliance
RELIGARE,Religare Enterprises Limited,religare enterprises
RELINFRA,Reliance Infrastructure Limited,reliance infrastructure
RELTD,Ravindra Energy Limited,ravindra energy
REMSONSIND,Remsons Industries Limited,remsons
RENUKA,Shree Renuka Sugars Limited,shree renuka sugars
REPCOHOME,Repco Home Finance Limited,repco home finance
REPL,Rudrabhishek Enterprises Limited,rudrabhishek enterprises
REPRO,Repro India Limited,repro
RESPONIND,Responsive Industries Limited,responsive
RETAIL,JHS Svendgaard Retail Ventures Limited,jhs svendgaard retail ventures
RGL,Renaissance Global Limited,renaissance global
RHFL,Reliance Home Finance Limited,reliance home finance
RHIM,RHI MAGNESITA INDIA LIMITED,rhi magnesita
RHL,Robust Hotels Limited,robust hotels
RICOAUTO,Rico Auto Industries Limited,rico auto
RIIL,Reliance Industrial Infrastructure Limited,reliance industrial infrastructure
RISHABH,Rishabh Instruments Limited,rishabh instruments
RITCO,Ritco Logistics Limited,ritco logistics
RITES,RITES Limited,rites
RKDL,Ravi Kumar Distilleries Limited,ravi kumar distilleries
RKEC,RKEC Projects Limited,rkec projects
RKFORGE,Ramkrishna Forgings Limited,ramkrishna forgings
RKSWAMY,R K Swamy Limited,r k swamy
RMDRIP,R M Drip and Sprinklers Systems Limited,r m drip and sprinklers systems
RML,Rane (Madras) Limited,rane madras
RNBDENIMS,R&B Denims Limited,r b denims
ROHLTD,Royal Orchid Hotels Limited,royal orchid hotels
ROLEXRINGS,Rolex Rings Limited,rolex rings
ROLLT,Rollatainers Limited,rollatainers
ROLTA,Rolta India Limited,rolta
ROML,Raj Oil Mills Limited,raj oil mills
ROSSARI,Rossari Biotech Limited,rossari biotech
ROSSELLIND,Rossell India Limited,rossell
ROSSTECH,Rossell Techsys Limited,rossell techsys
ROTO,Roto Pumps Limited,roto pumps
ROUTE,ROUTE MOBILE LIMITED,route mobile
RPEL,Raghav Productivity Enhancers Limited,raghav productivity enhancers
RPGLIFE,RPG Life Sciences Limited,rpg life sciences
RPOWER,Reliance Power Limited,reliance power
RPPINFRA,R.P.P. Infra Projects Limited,r p p infra projects
RPPL,Rajshree Polypack Limited,rajshree polypack
RPSGVENT,RPSG VENTURES LIMITED,rpsg ventures
RPTECH,Rashi Peripherals Limited,rashi peripherals
RRKABEL,R R Kabel Limited,r r kabel
RSSOFTWARE,R. S. Software (India) Limited,r s software
RSWM,RSWM Limited,rswm
RSYSTEMS,R Systems International Limited,r systems international
RTNINDIA,RattanIndia Enterprises Limited,rattanindia enterprises
RTNPOWER,RattanIndia Power Limited,rattanindia power
RUBFILA,Rubfila International Limited,rubfila international
RUBYMILLS,The Ruby Mills Limited,the ruby mills
RUCHINFRA,Ruchi Infrastructure Limited,ruchi infrastructure
RUCHIRA,Ruchira Papers Limited,ruchira papers
RUPA,Rupa & Company Limited,rupa
RUSHIL,Rushil Decor Limited,rushil decor
RUSTOMJEE,Keystone Realtors Limited,keystone realtors
RVHL,Ravinder Heights Limited,ravinder heights
RVNL,Rail Vikas Nigam Limited,rail vikas nigam
RVTH,Revathi Equipment India Limited,revathi equipment
S&SPOWER,S&S Power Switchgears Limited,s s power switchgears
SABEVENTS,Sab Events & Governance Now Media Limited,sab events governance now media
SABTNL,Sri Adhikari Brothers Television Network Limited,sri adhikari brothers television network
SADBHAV,Sadbhav Engineering Limited,sadbhav engineering
SADBHIN,Sadbhav Infrastructure Project Limited,sadbhav infrastructure project
SADHNANIQ,Sadhana Nitrochem Limited,sadhana nitrochem
SAFARI,Safari Industries (India) Limited,safari industries
SAGARDEEP,Sagardeep Alloys Limited,sagardeep alloys
SAGCEM,Sagar Cements Limited,sagar cements
SAGILITY,Sagility India Limited,sagility
SAHYADRI,Sahyadri Industries Limited,sahyadri
SAIL,Steel Authority of India Limited,steel authority of
SAILIFE,Sai Life Sciences Limited,sai life sciences
SAKAR,Sakar Healthcare Limited,sakar healthcare
SAKHTISUG,Sakthi Sugars Limited,sakthi sugars
SAKSOFT,Saksoft Limited,saksoft
SAKUMA,Sakuma Exports Limited,sakuma exports
SALASAR,Salasar Techno Engineering Limited,salasar techno engineering
SALONA,Salona Cotspin Limited,salona cotspin
SALSTEEL,S.A.L. Steel Limited,s a l steel
SALZERELEC,Salzer Electronics Limited,salzer electronics
SAMBHAAV,Sambhaav Media Limited,sambhaav media
SAMBHV,Sambhv Steel Tubes Limited,sambhv steel tubes
SAMHI,Samhi Hotels Limited,samhi hotels
SAMMAANCAP,Sammaan Capital Limited,sammaan capital
SAMPANN,Sampann Utpadan India Limited,sampann utpadan
SANATHAN,Sanathan Textiles Limited,sanathan textiles
SANCO,Sanco Industries Limited,sanco
SANDESH,The Sandesh Limited,the sandesh
SANDHAR,Sandhar Technologies Limited,sandhar technologies
SANDUMA,Sandur Manganese & Iron Ores Limited,sandur manganese iron ores
SANGAMIND,Sangam (India) Limited,sangam
SANGHIIND,Sanghi Industries Limited,sanghi
SANGHVIMOV,Sanghvi Movers Limited,sanghvi movers
SANGINITA,Sanginita Chemicals Limited,sanginita chemicals
SANOFI,Sanofi India Limited,sanofi
SANOFICONR,Sanofi Consumer Healthcare India Limited,sanofi consumer healthcare
SANSERA,Sansera Engineering Limited,sansera engineering
SANSTAR,Sanstar Limited,sanstar
SANWARIA,Sanwaria Consumer Limited,sanwaria consumer
SAPPHIRE,Sapphire Foods India Limited,sapphire foods
SARDAEN,Sarda Energy & Minerals Limited,sarda energy minerals
SAREGAMA,Saregama India Limited,saregama
SARLAPOLY,Sarla Performance Fibers Limited,sarla performance fibers
SARVESHWAR,Sarveshwar Foods Limited,sarveshwar foods
SASKEN,Sasken Technologies Limited,sasken technologies
SASTASUNDR,Sastasundar Ventures Limited,sastasundar ventures
SATIA,Satia Industries Limited,satia
SATIN,Satin Creditcare Network Limited,satin creditcare network
SAURASHCEM,Saurashtra Cement Limited,saurashtra cement
SBC,SBC Exports Limited,sbc exports
SBCL,Shivalik Bimetal Controls Limited,shivalik bimetal controls
SBFC,SBFC Finance Limited,sbfc finance
SBGLP,Suratwwala Business Group Limited,suratwwala business group
SBICARD,SBI Cards and Payment Services Limited,sbi cards and payment services
SBILIFE,SBI Life Insurance Company Limited,sbi life insurance
SBIN,State Bank of India,state bank of
SCHAEFFLER,Schaeffler India Limited,schaeffler
SCHAND,S Chand And Company Limited,s chand and
SCHNEIDER,Schneider Electric Infrastructure Limited,schneider electric infrastructure
SCI,Shipping Corporation Of India Limited,shipping corporation of
SCILAL,Shipping Corporation of India Land and Assets Limited,shipping corporation of india land and assets
SCODATUBES,Scoda Tubes Limited,scoda tubes
SCPL,Sheetal Cool Products Limited,sheetal cool products
SDBL,Som Distilleries & Breweries Limited,som distilleries breweries
SEAMECLTD,Seamec Limited,seamec
SECMARK,SecMark Consultancy Limited,secmark consultancy
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,securekloud technologies
SEJALLTD,Sejal Glass Limited,sejal glass
SELAN,Selan Exploration Technology Limited,selan exploration technology
SELMC,SEL Manufacturing Company Limited,sel manufacturing
SEMAC,Semac Construction Limited,semac construction
SENCO,Senco Gold Limited,senco gold
SENORES,Senores Pharmaceuticals Limited,senores pharmaceuticals
SEPC,SEPC Limited,sepc
SEQUENT,Sequent Scientific Limited,sequent scientific
SERVOTECH,Servotech Renewable Power System Limited,servotech renewable power system
SESHAPAPER,Seshasayee Paper and Boards Limited,seshasayee paper and boards
SETCO,Setco Automotive Limited,setco automotive
SEYAIND,Seya Industries Limited,seya
SFL,Sheela Foam Limited,sheela foam
SGFIN,SG Finserve Limited,sg finserve
SGIL,Synergy Green Industries Limited,synergy green
SGL,STL Global Limited,stl global
SGLTL,Standard Glass Lining Technology Limited,standard glass lining technology
SGMART,SG Mart Limited,sg mart
SHAH,Shah Metacorp Limited,shah metacorp
SHAHALLOYS,Shah Alloys Limited,shah alloys
SHAILY,Shaily Engineering Plastics Limited,shaily engineering plastics
SHAKTIPUMP,Shakti Pumps (India) Limited,shakti pumps
SHALBY,Shalby Limited,shalby
SHALPAINTS,Shalimar Paints Limited,shalimar paints
SHANKARA,Shankara Building Products Limited,shankara building products
SHANTI,Shanti Overseas (India) Limited,shanti overseas
SHANTIGEAR,Shanthi Gears Limited,shanthi gears
SHANTIGOLD,Shanti Gold International Limited,shanti gold international
SHARDACROP,Sharda Cropchem Limited,sharda cropchem
SHARDAMOTR,Sharda Motor Industries Limited,sharda motor
SHAREINDIA,Share India Securities Limited,share india securities
SHEKHAWATI,Shekhawati Industries Limited,shekhawati
SHEMAROO,Shemaroo Entertainment Limited,shemaroo entertainment
SHILPAMED,Shilpa Medicare Limited,shilpa medicare
SHIVALIK,Shivalik Rasayan Limited,shivalik rasayan
SHIVAMAUTO,Shivam Autotech Limited,shivam autotech
SHIVAMILLS,Shiva Mills Limited,shiva mills
SHIVATEX,Shiva Texyarn Limited,shiva texyarn
SHK,S H Kelkar and Company Limited,s h kelkar and
SHOPERSTOP,Shoppers Stop Limited,shoppers stop
SHRADHA,Shradha Infraprojects Limited,shradha infraprojects
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,shree digvijay cement co
SHREECEM,SHREE CEMENT LIMITED,shree cement
SHREEJISPG,Shreeji Shipping Global Limited,shreeji shipping global
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,shree pushkar chemicals fertilisers
SHREERAMA,Shree Rama Multi-Tech Limited,shree rama multi tech
SHRENIK,Shrenik Limited,shrenik
SHREYANIND,Shreyans Industries Limited,shreyans
SHRIPISTON,Shriram Pistons & Rings Limited,shriram pistons rings
SHRIRAMFIN,Shriram Finance Limited,shriram finance
SHRIRAMPPS,Shriram Properties Limited,shriram properties
SHYAMCENT,Shyam Century Ferrous Limited,shyam century ferrous
SHYAMMETL,Shyam Metalics and Energy Limited,shyam metalics and energy
SHYAMTEL,Shyam Telecom Limited,shyam telecom
SICALLOG,Sical Logistics Limited,sical logistics
SIEMENS,Siemens Limited,siemens
SIGACHI,Sigachi Industries Limited,sigachi
SIGIND,Signet Industries Limited,signet
SIGMA,Sigma Solve Limited,sigma solve
SIGNATURE,Signatureglobal (India) Limited,signatureglobal
SIGNPOST,Signpost India Limited,signpost
SIKKO,Sikko Industries Limited,sikko
SIL,Standard Industries Limited,standard
SILGO,Silgo Retail Limited,silgo retail
SILINV,SIL Investments Limited,sil investments
SILLYMONKS,Silly Monks Entertainment Limited,silly monks entertainment
SILVERTUC,Silver Touch Technologies Limited,silver touch technologies
SIMBHALS,Simbhaoli Sugars Limited,simbhaoli sugars
SIMPLEXINF,Simplex Infrastructures Limited,simplex infrastructures
SINCLAIR,Sinclairs Hotels Limited,sinclairs hotels
SINDHUTRAD,Sindhu Trade Links Limited,sindhu trade links
SINTERCOM,Sintercom India Limited,sintercom
SIRCA,Sirca Paints India Limited,sirca paints
SIS,SIS LIMITED,sis
SITINET,Siti Networks Limited,siti networks
SIYSIL,Siyaram Silk Mills Limited,siyaram silk mills
SJS,S.J.S. Enterprises Limited,s j s enterprises
SJVN,SJVN Limited,sjvn
SKFINDIA,SKF India Limited,skf
SKIPPER,Skipper Limited,skipper
SKMEGGPROD,SKM Egg Products Export (India) Limited,skm egg products export
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,sky gold and diamonds
SMARTLINK,Smartlink Holdings Limited,smartlink holdings
SMARTWORKS,Smartworks Coworking Spaces Limited,smartworks coworking spaces
SMCGLOBAL,SMC Global Securities Limited,smc global securities
SMLISUZU,SML Isuzu Limited,sml isuzu
